epoch,dice_coef,iou,loss,precision_m,recall_m,val_dice_coef,val_iou,val_loss,val_precision_m,val_recall_m
0,0.7930949926376343,0.823145866394043,0.3897640109062195,0.8752744793891907,0.9221261143684387,0.11871770024299622,3.0507693593584406e-11,1.6026276350021362,1.0,3.0507693593584406e-11
1,0.8894161581993103,0.9080540537834167,0.20071597397327423,0.9543715715408325,0.9500148296356201,0.6663098931312561,0.5669870972633362,0.682345449924469,0.9877306222915649,0.572479248046875
2,0.9125988483428955,0.9188616871833801,0.16148905456066132,0.9615175724029541,0.9542570114135742,0.89107346534729,0.8742693662643433,0.21675261855125427,0.9717746376991272,0.8978866338729858
3,0.9247078895568848,0.922667920589447,0.14335677027702332,0.964352011680603,0.9555397033691406,0.8628206849098206,0.8134263157844543,0.2935629189014435,0.9782368540763855,0.829034686088562
4,0.9321126937866211,0.9237903952598572,0.13166651129722595,0.9651986360549927,0.9557961821556091,0.9210352301597595,0.8903605937957764,0.17726828157901764,0.9638288021087646,0.9214261770248413
5,0.9381930828094482,0.9265197515487671,0.12171955406665802,0.9667940139770508,0.9572840929031372,0.9273526668548584,0.9037401080131531,0.1562785506248474,0.9633421897888184,0.9363470673561096
6,0.9390868544578552,0.9225693345069885,0.12258961796760559,0.9644192457199097,0.9553520679473877,0.9200519323348999,0.8840994834899902,0.17821244895458221,0.9716482162475586,0.9079717397689819
7,0.9442154169082642,0.9278218746185303,0.11308985203504562,0.9678341746330261,0.9576009511947632,0.9329348802566528,0.9029905796051025,0.15322311222553253,0.9748932123184204,0.9248078465461731
8,0.9481646418571472,0.9305081367492676,0.10679134726524353,0.9695282578468323,0.9588406085968018,0.9382314682006836,0.908015787601471,0.14151617884635925,0.9753276109695435,0.9296802878379822
9,0.949362576007843,0.9304595589637756,0.10448648035526276,0.9691623449325562,0.9590120315551758,0.9391902685165405,0.9106371998786926,0.13677990436553955,0.9705713391304016,0.9368743896484375
10,0.9513056874275208,0.9320642352104187,0.10098177194595337,0.9706808924674988,0.9592519402503967,0.9335991144180298,0.9000940918922424,0.15091969072818756,0.9640244841575623,0.9317788481712341
11,0.9524461627006531,0.9324904680252075,0.09966740757226944,0.9705811142921448,0.959879457950592,0.9401942491531372,0.9091654419898987,0.14286307990550995,0.9695643782615662,0.9362503290176392
12,0.9536267518997192,0.933265745639801,0.09707842022180557,0.9711576700210571,0.9601156115531921,0.9413737654685974,0.9081156253814697,0.14006783068180084,0.9712191224098206,0.9335852265357971
13,0.9539124369621277,0.9330368041992188,0.09669841080904007,0.9707423448562622,0.9602729678153992,0.9428758025169373,0.9083042144775391,0.14471407234668732,0.9705308079719543,0.9344415068626404
14,0.9564551115036011,0.9364292025566101,0.09149868041276932,0.9722838997840881,0.9622311592102051,0.9440916776657104,0.912171483039856,0.13576771318912506,0.973070502281189,0.9361019730567932
15,0.9562908411026001,0.9366289973258972,0.09020931273698807,0.9723429679870605,0.9624045491218567,0.9449447393417358,0.913347065448761,0.13390962779521942,0.9730174541473389,0.9373888373374939
16,0.9566617012023926,0.9368480443954468,0.08983119577169418,0.9721484184265137,0.9628856778144836,0.9441753029823303,0.9125122427940369,0.13498122990131378,0.9757519364356995,0.9339901804924011
17,0.9571657180786133,0.9374315142631531,0.08929983526468277,0.9731629490852356,0.9624532461166382,0.9439169764518738,0.912544846534729,0.13453616201877594,0.9702971577644348,0.9391184449195862
18,0.9570812582969666,0.9373042583465576,0.08862645924091339,0.9724217653274536,0.9630705118179321,0.9452646374702454,0.9134594202041626,0.13366690278053284,0.9708937406539917,0.9395247101783752
19,0.9575139284133911,0.9377377033233643,0.08807338029146194,0.9730985760688782,0.9628502130508423,0.9453781247138977,0.9138787388801575,0.13328208029270172,0.9719348549842834,0.9389957785606384
20,0.9576625227928162,0.9379086494445801,0.08784361183643341,0.9727649092674255,0.9633451700210571,0.9449564218521118,0.9137449860572815,0.13337105512619019,0.9730122089385986,0.9378372430801392
21,0.9582014679908752,0.9385316967964172,0.08684253692626953,0.973293662071228,0.9635378122329712,0.9439446926116943,0.9124950170516968,0.13351333141326904,0.9688790440559387,0.9405282139778137
22,0.9578563570976257,0.9386094808578491,0.08717139810323715,0.9733718037605286,0.9635515213012695,0.9460873007774353,0.9146859645843506,0.13401661813259125,0.9732912182807922,0.9385823011398315
23,0.958445131778717,0.9386470317840576,0.0861501470208168,0.9730975031852722,0.9637838006019592,0.9458305239677429,0.9147094488143921,0.1336343139410019,0.9725015759468079,0.9393668174743652
24,0.9588353037834167,0.9395757913589478,0.08510015159845352,0.9742156863212585,0.9636980891227722,0.9455020427703857,0.9143292903900146,0.13389423489570618,0.9717042446136475,0.9397306442260742
25,0.9589068293571472,0.9396822452545166,0.08468198031187057,0.9733635783195496,0.9646120667457581,0.9454730749130249,0.9141597151756287,0.1344420611858368,0.9721346497535706,0.9391438961029053
26,0.9592313766479492,0.9400204420089722,0.08427118510007858,0.9737338423728943,0.9645815491676331,0.9456673860549927,0.9146212935447693,0.13364018499851227,0.9719530344009399,0.9398006200790405
